3_digit_code,3_digit_label,4_digit_code,4_digit_label
753,Garment and Related Trades Workers,7531,"Tailors, Dressmakers, Furriers and Hatters"
753,Garment and Related Trades Workers,7532,Garment and Related Patternmakers and Cutters
753,Garment and Related Trades Workers,7533,"Sewing, Embroidery and Related Workers"
753,Garment and Related Trades Workers,7534,Upholsterers and Related Workers
753,Garment and Related Trades Workers,7535,"Pelt Dressers, Tanners and Fellmongers"
753,Garment and Related Trades Workers,7536,Shoemakers and Related Workers
754,Other Craft and Related Workers,7541,Underwater Divers
754,Other Craft and Related Workers,7542,Shotfirers and Blasters
754,Other Craft and Related Workers,7543,Product Graders and Testers (excluding Foods and Beverages)
754,Other Craft and Related Workers,7544,Fumigators and Other Pest and Weed Controllers
754,Other Craft and Related Workers,7549,Craft and Related Workers Not Elsewhere Classified
811,Mining and Mineral Processing Plant Operators,8111,Miners and Quarriers
811,Mining and Mineral Processing Plant Operators,8112,Mineral and Stone Processing Plant Operators
811,Mining and Mineral Processing Plant Operators,8113,Well Drillers and Borers and Related Workers
811,Mining and Mineral Processing Plant Operators,8114,"Cement, Stone and Other Mineral Products Machine Operators"
812,Metal Processing and Finishing Plant Operators,8121,Metal Processing Plant Operators
812,Metal Processing and Finishing Plant Operators,8122,"Metal Finishing, Plating and Coating Machine Operators"
813,Chemical and Photographic Products Plant and Machine Operators,8131,Chemical Products Plant and Machine Operators
813,Chemical and Photographic Products Plant and Machine Operators,8132,Photographic Products Machine Operators
814,"Rubber, Plastic and Paper Products Machine Operators",8141,Rubber Products Machine Operators
814,"Rubber, Plastic and Paper Products Machine Operators",8142,Plastic Products Machine Operators
814,"Rubber, Plastic and Paper Products Machine Operators",8143,Paper Products Machine Operators
815,"Textile, Fur and Leather Products Machine Operators",8151,"Fibre Preparing, Spinning and Winding Machine Operators"
815,"Textile, Fur and Leather Products Machine Operators",8152,Weaving and Knitting Machine Operators
815,"Textile, Fur and Leather Products Machine Operators",8153,Sewing Machine Operators
815,"Textile, Fur and Leather Products Machine Operators",8154,"Bleaching, Dyeing and Fabric Cleaning Machine Operators"
815,"Textile, Fur and Leather Products Machine Operators",8155,Fur and Leather Preparing Machine Operators
815,"Textile, Fur and Leather Products Machine Operators",8156,Shoemaking and Related Machine Operators
815,"Textile, Fur and Leather Products Machine Operators",8157,Laundry Machine Operators
815,"Textile, Fur and Leather Products Machine Operators",8159,"Textile, Fur and Leather Products Machine Operators Not Elsewhere Classified"
816,Food and Related Products Machine Operators,8160,Food and Related Products Machine Operators
817,Wood Processing and Papermaking Plant Operators,8171,Pulp and Papermaking Plant Operators
817,Wood Processing and Papermaking Plant Operators,8172,Wood Processing Plant Operators
818,Other Stationary Plant and Machine Operators,8181,Glass and Ceramics Plant Operators
818,Other Stationary Plant and Machine Operators,8182,Steam Engine and Boiler Operators
818,Other Stationary Plant and Machine Operators,8183,"Packing, Bottling and Labelling Machine Operators"
818,Other Stationary Plant and Machine Operators,8189,Stationary Plant and Machine Operators Not Elsewhere Classified
821,Assemblers,8211,Mechanical Machinery Assemblers
821,Assemblers,8212,Electrical and Electronic Equipment Assemblers
821,Assemblers,8219,Assemblers Not Elsewhere Classified
834,Mobile Plant Operators,8341,Mobile Farm and Forestry Plant Operators
834,Mobile Plant Operators,8342,Earthmoving and Related Plant Operators
834,Mobile Plant Operators,8343,"Crane, Hoist and Related Plant Operators"
834,Mobile Plant Operators,8344,Lifting Truck Operators
835,Ships’ Deck Crews and Related Workers,8350,Ships’ Deck Crews and Related Workers
921,"Agricultural, Forestry and Fishery Labourers",9211,Crop Farm Labourers
921,"Agricultural, Forestry and Fishery Labourers",9212,Livestock Farm Labourers
921,"Agricultural, Forestry and Fishery Labourers",9213,Mixed Crop and Livestock Farm Labourers
921,"Agricultural, Forestry and Fishery Labourers",9214,Garden and Horticultural Labourers
921,"Agricultural, Forestry and Fishery Labourers",9215,Forestry Labourers
921,"Agricultural, Forestry and Fishery Labourers",9216,Fishery and Aquaculture Labourers
931,Mining and Construction Labourers,9311,Mining and Quarrying Labourers
931,Mining and Construction Labourers,9312,Civil Engineering Labourers
931,Mining and Construction Labourers,9313,Building Construction Labourers
932,Manufacturing Labourers,9321,Hand Packers
932,Manufacturing Labourers,9329,Manufacturing Labourers Not Elsewhere Classified
933,Transport and Storage Labourers,9333,Freight Handlers
962,Other Elementary Workers,9629,Elementary Workers Not Elsewhere Classified
