job_id,job_title,date,company_name,country,country_code,region,field,full_description,coordinates
BG11,"Монтажник, кабели",2025-08-21,КОМТРЕЙД ООД,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,Монтаж на системи за видеонаблюдение. Кандидатът трябва да има технически умения за работа с инструменти и извършване на окабеляване слаботокови инсталации. Изискване е да има шофьорска книжка. Не е необходим предишен опит.,"(42.6977, 23.3219)"
BG12,Solutions Consultant,2025-11-25,linkAnordic,Bulgaria,BG,Sofia,Other / Undefined,"What will you do: Deliver professional support for our products and services, maintaining a stellar customer satisfaction rate. Master and efficiently utilize CRM software, ticketing systems, and other customer service tools to meet the unique needs of our customers. Engage customers through multiple channels, including phone, email and chat. Collaborate with team members to share best practices and contribute to the knowledge base. Requirements: Fluent Finnish and English communication skills. Strong interpersonal abilities and customer service orientation. Ability to follow structured guides and processes. Excellence in active listening and problem-solving. Adaptable and quick to learn new processes and technologies. Self-motivated with a passion for customer satisfaction. No tech background needed! Were looking for enthusiastic individuals who are ready to learn and are passionate about helping others. Our comprehensive training program will equip you with all the product knowledge you need to succeed. Benefits: Financial support during relocation (e.g.: for transportation, hotel stay, rent, and assistance in finding a long-term rental)! Fully paid training. Stable job and career development opportunities! Attractive salary! Additional health insurance. 50+ benefits and services to choose from. Positive international working environment. Support and learning! Employee referral bonuses! Much, much more! This employment complies with the legislation of Bulgaria.","(None, None)"
BG13,"Разработчик, софтуер",2025-10-01,ЕС БИ ТЕК (ГЛОБЪЛ) ЛИМИТЕД - КЛОН БЪЛГАРИЯ КЧТ Клон на чуждестранно лице,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,"Отговаря за състоянието и функционирането на разработените програмни продукти и системи; Въвежда, адаптира и поддържа програмни продукти и системи; Съставя алгоритми и блок-схема на определени програми или части от тях; Носи отговорност от настъпили вреди от системата за информационно и програмно осигуряване; Изпълнява конкретно възложени задачи, свързани с длъжността  СРМ са за лица с 50% и над 50% н.р. от квотата по чл.38 ал.1 от ЗХУ","(42.6977, 23.3219)"
BG14,"Агент, спорт",2025-10-01,ЕС БИ ТЕК (ГЛОБЪЛ) ЛИМИТЕД - КЛОН БЪЛГАРИЯ КЧТ Клон на чуждестранно лице,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,"Да има задълбочени познания и интерес към спорта, аналитично мислене; Способност да работи на пълно работно време; Да притежава аналитични умения; Носи отговорност от настъпили вреди от системата за информационно и програмно осигуряване; Изпълнява конкретно възложени задачи, свързани с длъжността  СРМ са за лица с 50% и над 50% н.р. от квотата по чл.38 ал.1 от ЗХУ","(42.6977, 23.3219)"
BG15,"Разработчик, интерактивно съдържание",2025-06-25,Бош Диджитал  ЕООД ЕООД,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,"1. Проектира лесни за използване и ориентирани към потребителя интерфейс решения за различни проекти, използвайки умения и опит по изброените технологии 2. Подпомага цялостното разработване и поддържане на системата за дигитален дизайн на компанията, заедно с централния екип за корпоративен дизайн. 3. Осигурява постоянно високо качество на потребителско изживяване свързано с търговската марка на компанията 4. Участва в целия процес на проектиране от събирането на изискванията заедно с продуктовия отговорник до създаването на макети на потребителски интерфейс и спецификации на дизайна. 5. Интерактивно внедрява подобрения в дизайна в съответствие с обратната връзка от потребителите. 6. Работи в тясно сътрудничество с екипите по софтуерна разработката, следвайки аджайл принципите при внедряване на потребителски интерфейс. 7. Работи със съответните заинтересовани страни от различни направления в компанията, както и с външни доставчици.","(42.6977, 23.3219)"
BG16,"Работник, поддръжка",2025-11-27,СЕНТРАЛ ПАРК 1 ЕООД,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,"Поддържа градинската площ / косене / Отговаря за поддръжката на басейн през летния сезон; Прави заявка за необходими  материали и консумативи, необходими за поддръжката на комплекса.","(42.6977, 23.3219)"
BG17,"Работник, строителството",2025-10-01,Експириънс билдинг ЕООД,Bulgaria,BG,Northern and Eastern Bulgaria,Other / Undefined,"Отговаря за качественото изпълнение на възложената работа. Носи отговорност при нанесени вреди върху инвентара, стоките и материалите, които пренася. Да опазва фирмената тайна. Да спазва правилата за товарене, разтоварване и пренасяне. Да спазва нормативните изисквания за безопасност на труда.","(43.2141, 27.9147)"
BG18,"Технически ръководител, строителство",2025-08-08,АС-СТРОЙ - ЕООД ЕООД,Bulgaria,BG,Northern and Eastern Bulgaria,Other / Undefined,"Изготвя и обработва техническа документация, свързана със строителния процес (чертежи, спецификации, оферти, договори и др.). Организира и осъществява архивиране и съхранение на документацията. Следи за навременното подаване на необходимите документи към съответните органи и инстанции. Събира, организира и следи за изпълнението на всички технически документи и чертежи на обекта. Периодично проверява съответствието на изпълнените дейности с одобрените чертежи и спецификации. Координира връзката между инженерния екип, строителния ръководител и останалите отдели, свързани със строителния процес.","(43.2141, 27.9147)"
BG19,Chief Accountant (Hybrid),2025-12-15,Jobs Europe AB,Bulgaria,BG,Sofia,Industrial & Operations Engineering,"WorkNomads is seeking an experienced and detail-oriented Chief Accountant to join our Finance team. The Chief Accountant will be responsible for overseeing various accounting functions, ensuring compliance with accounting standards, and providing accurate and timely financial information to support strategic decision-making. This role requires a high level of technical expertise, analytical skills, and the ability to work collaboratively across departments. Dare to have a mission: Financial Reporting and Analysis: Prepare and review monthly, quarterly, and annual financial statements, including income statements, balance sheets, and cash flow statements. Conduct thorough financial analysis to identify trends, variances, and opportunities for improvement. Prepare and present financial reports to senior management, providing insights and recommendations for strategic decision-making. General Ledger and Month-End Close: Oversee the general ledger, ensuring all transactions are recorded accurately and in a timely manner. Lead the month-end and year-end close processes, including the preparation of journal entries, reconciliations, and adjustments. Ensure all accounts are reconciled and discrepancies are resolved promptly. Compliance and Internal Controls: Ensure compliance with accounting standards and regulatory requirements. Develop, implement, and maintain internal controls to safeguard company assets and ensure the integrity of financial data. Coordinate and assist with internal and external audits, providing necessary documentation and explanations. Accounts Payable and Receivable: Supervise the accounts payable and accounts receivable functions, ensuring timely and accurate processing of invoices, payments, and collections. Review and approve payment runs, ensuring proper authorization and documentation. Monitor aging reports and follow up on overdue accounts. Budgeting and Forecasting: Assist in the preparation of annual budgets and periodic forecasts, working closely with department heads to gather relevant information. Analyze budget variances and provide explanations to management. Develop financial models to support long-term strategic planning. Team Leadership and Development: Mentor and support junior accounting staff, fostering a collaborative and efficient team environment. Conduct performance evaluations and provide feedback to team members. Identify training needs and opportunities for professional development. Process Improvement: Evaluate existing accounting processes and systems, identifying areas for improvement. Implement best practices to enhance efficiency, accuracy, and timeliness of financial reporting. Lead or participate in cross-functional projects to improve overall business processes. The tools in your backpack: Bachelor’s degree in Accounting, Finance, or a related field. Minimum of 5-7 years of accounting experience, with at least 2 years in a senior or supervisory role. Strong knowledge of accounting principles, standards, and regulations Proficiency in accounting software and MS Office Suite, particularly Excel. Excellent analytical, problem-solving, and organizational skills. Strong attention to detail and accuracy. Ability to work independently and as part of a team. Effective communication and interpersonal skills. Preferred Qualifications: - Familiarity with ERP systems. - Advanced Excel skills, including financial modeling and data analysis. Working Conditions: - This position typically operates in a hybrid environment. - Occasional overtime may be required to meet deadlines. Our recipe for great life in Bulgaria: • The opportunity to participate to our new nomadic economy, instead of watching it happen from the side-lines • An environment where your opinion matters, and you manage your own work life balance • International and dynamic workplace • Onsite access to co-working spaces, meeting rooms, an event rooftop, communal kitchens, sports, and leisure areas & parking • Competitive remuneration and social welfare package (such as 25 days annual paid leave, private health insurance for you and your family, and various community benefits and events) = TOTAL(LY): amazing life & work with WorkNomads About the docking station WorkNomads is a global employer for digital nomads, empowering people to live life their way, offering flexible co-living and remote and project-based jobs. Interest piqued? Join us! We celebrate the right of every human to be themselves and provide opportunities for global talent to shine. Diversity, social equity, and inclusion are at the core of who we are. We create an environment where different voices are respected, heard and empowered in equal measure. We’re breaking down the boundaries by designing a new nomadic economy by enabling people to do what they love and be where they want. Required language: English","(None, None)"
BG20,Камериер/камериерка,2025-11-25,ЛЕНТОХРАНИЛИЩЕ БОРОВЕЦ поделение,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,"Поддържа хигиената в определените обекти или помещения. Подменя постелъчния инвентар, пердета, хавлии и посуда. Зарежда с хигиенни материали и рекламно-информационни брошури. Следи за изправността на електрическата система и електрическите уреди, поставени в стаите. Следи за изправността на работа на водопроводните, канализационните и санитарните съоръжения.","(42.6977, 23.3219)"
BG21,Front Office Host - Digital Hotel & Guest lounge (Onsite),2025-12-09,Jobs Europe AB,Bulgaria,BG,Sofia,Other / Undefined,"We are seeking a dynamic and service-oriented Front Office Host to support our digitally managed hotel operation. This hybrid role combines guest reception duties with beverage service in our guest lounge and breakfast area, which shares space with the hotel’s restaurant. You will provide warm, personal service, guide guests through the digital check-in process and coordinate with hotel staff and procedures. You’ll also support hotel breakfast and assist in serving drinks and light meals during the day. This position is ideal for someone with hospitality or F&B experience who thrives in a digital, guest-facing environment and enjoys delivering both operational excellence and heartfelt service. Dare to have a mission Front Office & Guest Experience Greet and assist guests through the digital check-in and check-out process Ensure guests are accommodated in rooms that reflect their booking details and preferences Maintain awareness of in-house and arriving guests, including special requests and VIPs Coordinate with housekeeping to ensure timely room readiness Process payments for extra services (upgrades, late check-out, etc.) Monitor digital systems and guest communications to resolve any concerns proactively Provide basic concierge-style support and coordinate with the back office for smooth operations Breakfast & Lounge Service Set up and monitor the hotel breakfast service (buffet or à la carte as applicable) Welcome guests for breakfast, assist with any special dietary needs or preferences Serve drinks and light meals during the day in the lounge or restaurant area Maintain cleanliness and atmosphere of the lounge area, ensuring a pleasant guest environment Follow food safety and hygiene standards The tools in your Backpack Prior experience in hotel front office, hospitality, or F&B service Confident with digital tools and PMS platforms (e.g., Cloudbeds, Opera, tablets, POS systems) Comfortable handling food and beverages Fluent in English and Bulgarian (other languages are a plus) Strong communication and multitasking skills Service-first mindset and a natural host personality Well-groomed, presentable, and reliable Able to work flexible shifts, including mornings, weekends, and holidays Our recipe for a great life in Bulgaria: The opportunity to participate in our new nomadic economy, instead of watching it happen from the side-lines A personalized career development program An environment where your opinion matters, and you manage your own work-life balance International and dynamic workplace Onsite access to co-working spaces, meeting rooms, an event rooftop, communal kitchens, sports, and leisure areas & parking Competitive remuneration and social welfare package (such as 25 days annual paid leave, private health insurance, and various community benefits and events) Low cost of living in parallel with low personal income tax, growing your purchasing power to wine, dine and travel & work abroad & remote! = TOTAL(LY): amazing life & work with WorkNomads About the docking station WorkNomads is a global employer for digital nomads, empowering people to live life their way, offering flexible co-living and remote and project-based jobs Interest piqued? Join us! We celebrate the right of every human to be themselves and provide opportunities for global talent to shine. Diversity, social equity, and inclusion are at the core of who we are. We create an environment where different voices are respected, heard and empowered in equal measure. We’re breaking down the boundaries by designing a new nomadic economy by enabling people to do what they love and be where they want. Required language: English","(None, None)"
BG22,Крупие,2025-11-07,"""АТН Продакшън"" ООД ООД",Bulgaria,BG,Northern and Eastern Bulgaria,Other / Undefined,"ОНЛАЙН КРУПИЕ - представя и управлява игри като рулетка , блекджек и др. Представяне пред камера с увереност и усмивка. Поддържане на добра дикция и поведение по време на излъчването","(43.2141, 27.9147)"
BG23,"Експерт, продажби",2025-10-15,БОРИКА АД,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,"Продажби на продукти и услуги на БОРИКА АД; •    Инсталация, настройка и съпорт на ПОС терминали при клиенти; •    Осигуряване на квалифицирана технологична помощ на клиентите на Дружеството; •    Презентиране на продукти и услуги на БОРИКА АД пред клиенти; •    Активна работа по привличане на нови клиенти; •    Поддържане на клиентска база данни; •    Прилагане на ефективни методи за продажби; •    Периодично отчитане на дейността.","(42.6977, 23.3219)"
BG24,"Разработчик, софтуер",2025-06-24,СЪРКЪЛС БЪЛГАРИЯ ЕООД,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,"Проектиране, разработване и поддръжка на мащабируеми, високопроизводителни  С++ приложения, внедряване на компоненти, модули и услуги за многократна употреба, следвайки най добрите практики; извършване на прегледи на код, за да се гарантира висококачествен поддържаем код. Участие в ежедневни срещи, планиране на срещи,планиране на спринтове и ретроспективи в  Agile/ Scrum екипи","(42.6977, 23.3219)"
BG25,"Експерт, проектиране и програмиране",2025-11-07,АУРУБИС БЪЛГАРИЯ АД,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,"Отговаря  за сигурността на мрежите в системите за автоматизация Участва в изработването на задания за проектиране и доставка на оборудване в частта автоматизация, с фокус върху киберсигурността и интеграцията с ERP, MES, data historian и други софтуерни платформи Участва в подбора на изпълнители за проекти, свързани с автоматизация и киберсигурност Проучва възможни приложения на нови устройства и системи в компанията и работи по тяхното внедряване Изготвя документи, свързани с ИТ и автоматизация (графици, протоколи, доклади и др.) на български и/или английски език Участва при приемане и пускане в експлоатация на нови програмни продукти и системи за автоматизация Следи за правилната експлоатация на системите за киберсигурност в автоматизацията Участва във внедряване на решения за защита на индустриалната мрежа от неоторизиран достъп","(42.6977, 23.3219)"
BG26,"Оператор, подпомагане на потребители",2025-10-28,ТЕКНОЛЕДЖ ОПС БЪЛГАРИЯ ЕООД,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,Консултант обслужване на клиенти по нетехнически въпроси (Microsoft and OpenText)  с английски език; Стартиране на проекта 13.11.2025 г. Работа с портфолио от корпоративни клиенти; Комуникацията с клиентите е предимно в писмена форма;,"(42.6977, 23.3219)"
BG27,"Програмист, софтуерни приложения",2025-10-03,КПМГ ИТ Сървис ООД ООД,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,"Старши ДотНет програмист. Разработва нови програми и процеси.Събиране на статистически данни и изгот вяне на доклади, тестване на нови програми, документира процеса на разработване на код, проучва и препоръчва софтуерни приложения, взаимодействие с други екипи в дружеството. и др.по характеристика , описана подробно в Заявката за СРМ.","(42.6977, 23.3219)"
BG28,"Инженер, строителство на сгради и съоръжения",2025-10-21,ЕНЕРДЖИ СЕЙВИНГ ЕООД,Bulgaria,BG,Northern and Eastern Bulgaria,Other / Undefined,"Посещение на обекта, оглед и събиране на информация за процесите и съоръженията, обработка и анализ на събраната информация – снимков материал и данни, изготвяне на доклад заедно с експертите по останалите специалности, свързани със спецификата на конкретната задача. Поддържане на база данни с актуалните закони и наредби в областта, в която работи и прилагането им при изпълнение на поставените задачи. При желание за развитие в областта на проектирането – възможност за участие в разработка на инвестиционни проекти за енергийна ефективност на съществуващи и нови сгради. Изисквания: 1. Завършено висше образование /бакалавър или магистър/ по специалност ""Топлотехника"" или ""Топлоенергетика"" или техни производни. 2. Желание за развитие в областта на енергийната ефективност, техническата паспортизация на сгради и проектиране.","(43.2141, 27.9147)"
BG29,"Строителен техник, проектно-технически отдел",2025-10-21,ЕНЕРДЖИ СЕЙВИНГ ЕООД,Bulgaria,BG,Northern and Eastern Bulgaria,Other / Undefined,"Извършване на обследвания за енергийна ефективност както на съществуващи, така и на нови сгради са свързани с подкрепа в работата на инженер - проектантите в процеса на изпълнение на текущите задачи.  Участие в извършване на огледи на обектите, събиране и обработка на събраните данни за състоянието на обекта, обитатели, работни режими и др. Работа в сътрудничество с инженери и проектанти за оптимизация на енергийните проекти. Попълване и поддържане на документация, свързана с енергийните обследвания.","(43.2141, 27.9147)"
BG30,Главен счетоводител,2025-09-01,"ИНСТИТУТ ПО РОЗАТА И ЕТЕРИЧНОМАСЛЕНИТЕ КУЛТУРИ държавно предприятие (чл.62,ал.3 от ТЗ)",Bulgaria,BG,Northern and Eastern Bulgaria,Other / Undefined,"Ръководи и организира счетоводната дейност. Контролира и анализира изпълнението на икономическите показатели на института- Организира и осъществява уреждането на сметните отношения с дебитори и кредитори за уреждане взаимоотношенията с бюджета и банките. Организира и осъществява своевременното отразяване на всички счетоводни операции, касаещи дейността на института.","(43.2141, 27.9147)"
BG31,"Програмист, софтуерни приложения",2025-02-18,ДИДЖИТАЛ Нейчър България ЕООД ЕООД,Bulgaria,BG,South-Western and South-Central Bulgaria,Other / Undefined,"Разработва програмни продукти и база данни, съставя алгоритъм на програма въз основа на задание. Предлага различни варианти на програмни решения. Консултира се с дизайнера по време на графичното оформление на програмния продукт. Въвежда защита срещу неправомерно ползване на програмния продукт. Участва при съставянето на ръководство на потребителя за ползване на програмата и се консултира с документатор. Определя хардуерните и софтуерните изисквания за използване на новия програмен продукт. Подготвя презентация и демонстрира готовия продукт пред възложителя.Демонстрира готовия програмен продукт пред възложителя.Обучава служители за работа с новия програмен продукт. Изпълнява всички процедури и инстукции, произтичащи от въведената система по качество. Изпълнява и други задължения, възложени от прекия му ръководител или от ръководството на предприятието, свързани с работата му.","(42.6977, 23.3219)"
BG32,"Техник, компютърни системи",2025-12-08,СЕЛЕКТ ИЖЕНЕРИНГ ООД,Bulgaria,BG,Northern and Eastern Bulgaria,Other / Undefined,"Инсталатор на системи за сигурност. Знания и умения по изграждане и поддръжка на кабелни мрежи, видеонаблюдение, домофонни системи, СОТ системи Диагностициране и отстраняване на хардуерни и софтуерни проблеми","(43.2141, 27.9147)"
BG33,"Digital Trust and Safety Analyst with German and English, TELUS Digital Bulgaria (Kundendienstberater/in)",2025-12-01,TELUS Digital Bulgaria,Bulgaria,BG,Sofia,"Finance, Economics & Decision Science","Are you ready to take the next step in your career and achieve your next challenge? If your answer is YES - join the leader in the CX (Customer Experience) industry TELUS Digital Bulgaria! As a Digital Trust and Safety Analyst with German and English you will be a part of a great team and all together will: Review user-generated back-office information to ensure compliance with established policies Take prompt and appropriate action on information that violates guidelines or poses risks Stay updated on internal policies to ensure accurate implementation Identify and analyze patterns to proactively address potential risks We?re looking for someone with: Ability to process sensitive information Fluent in German B2 or higher English language skill Knowledge of pop culture, global events, and culture of the market(s) you are serving High attention to detail Ability to defend decisions and provide context in thought process Ability to identify patterns in behavior that can be leveraged for improved decision-making Strong organizational and time management skills to deal with shifting priorities and high volumes of work Experience investigating fraud, spam, or other types of inappropriate information is an asset In return, we will give you: Fully paid training Stable job and career development opportunities Attractive salary Additional health insurance 50+ benefits and services to choose from Positive international working environment Support and learning Employee referral bonuses We care about our employees' well?being, invest in their future growth, and encourage fun and team-building projects! About us: TELUS Digital Bulgaria is a publicly traded company (NYSE & TSX: TIXT) and is the largest employer in the CX (Customer Experience) industry in the country with over 4,000 team members. The company provides a broad portfolio of services - designing, building, and delivering next-generation digital services, AI solutions, customer experience, and much more. The company's primary focus is strict adherence to all our clients' procedures and practices. We are an independent outsourcing services provider and do not function as a local representation of our partners.","(None, None)"
