job_id,job_title,date,company_name,field,country,country_code,region,coordinates,full_description
BG24,"Engineer, building and construction of buildings and structures",2025-10-21,ENERGY SAVING EOOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Site visit, inspection and information gathering about processes and facilities, processing and analyzing the collected information – photos and data, preparing a report together with experts from other specialties related to the specifics of the particular task. Maintaining a database of current laws and regulations in the field in which he works and their application in performing the assigned tasks. If interested in development in the field of design – opportunity to participate in the development of investment projects for energy efficiency of existing and new buildings. Requirements: 1. Completed higher education (bachelor's or master's degree) in the specialty ""Thermal Engineering"" or ""Thermal Energy"" or their derivatives. 2. Desire for development in the field of energy efficiency, technical certification of buildings, and design."
BG25,"Construction technician, project-technical department",2025-10-21,ENERGY SAVING EOOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Conducts energy efficiency assessments of both existing and new buildings, related to support in the work of engineering designers in the process of executing current tasks. Participation in site inspections, collection and processing of gathered data on the status of the site, inhabitants, operating modes, etc. Works in collaboration with engineers and designers for the optimization of energy projects. Completes and maintains documentation related to energy assessments."
BG27,"Programmer, software applications",2025-02-18,DIGITAL NATURE BULGARIA EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Develops software products and databases, creates program algorithms based on assignments. Proposes different options for software solutions. Consults with the designer during the graphical design of the software product. Introduces protection against unauthorized use of the software product. Participates in the preparation of a user manual for using the program and consults with the documentation specialist. Determines the hardware and software requirements for using the new software product. Prepares a presentation and demonstrates the finished product to the client. Trains staff to work with the new software product. Follows all procedures and instructions arising from the established quality system. Performs other duties assigned by his direct supervisor or the management of the company related to his work."
BG28,"Technician, computer systems",2025-12-08,SELECT ENGINEERING OOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Installer of security systems. Knowledge and skills in building and maintaining cable networks, video surveillance, intercom systems, and security alarm systems. Diagnosing and resolving hardware and software issues."
BG31,Turner,2025-11-13,ENSI CONTROL EOOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","- Restores damaged parts for electric motors; - Adjusts, checks for accuracy, and operates complex universal lathes and milling machines; - Machining responsible and complex configuration parts, requiring careful checking across several surfaces with multiple setups and fastening methods, turning cylindrical, conical, and other surfaces positioned eccentrically and at an angle; - Grinds all types of tools with templates and protractors, with at least 1 year of professional experience."
BG32,"Machine operator, metalworking machines",2025-09-16,ZMM STOMANA AD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Commissioning one or more metal cutting machines for the production of metal products in standardized series, managing and controlling metal cutting machines such as lathes, mills, drilling machines, grinding machines, planers, polishing machines, including multifunctional metalworking machines with numerical control. Monitoring machine operations to detect defects in finished products or malfunctioning of the machines and carrying out appropriate adjustments as necessary. Checking finished products for possible defects, measuring blanks to determine the accuracy of machine operations using measuring tools, replacing worn machine fixtures and cutting tools."
BG33,Foundry worker,2025-09-16,ZMM STOMANA AD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Manual production of foundry molds for various sizes of castings using auxiliary equipment; production of cores for metal casting; cleaning and smoothing of castings, foundry cores, repairing and removing surface defects; placing the pattern in foundry molds; cutting channels, pouring channels, and holes in foundry molds; and lifting the upper section and separating the lower section for removing profiles."
BG40,"Dispatcher, vehicles",2025-12-09,MS SOT MONTANA OOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)",Dispatcher in a security company. Receiving signals from the company's clients and notifying the guards through a computer program. Tasks assigned by the employer.
BG43,"Manager, Production",2025-03-14,EKOPLAST FIBER AD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","1. Planning and control of synthetic fiber production – creating production schedules, allocating resources, and monitoring execution. 2. Team management – leading operators, engineers, and other staff in production. 3. Process optimization – seeking ways to reduce costs, increase efficiency, and improve quality. 4. Quality control – monitoring compliance with standards and implementing improvement measures. 5. Compliance with regulatory requirements – ensuring safety and environmental standards in production. 6. Working with suppliers and clients – managing materials, deadlines, and deliveries. 7. Reporting to management – analyzing and presenting production metrics. Leadership and organizational abilities, technical knowledge of the production process, planning and analytical skills, knowledge of ERP systems and production software, communication and management skills."
BG45,"Programmer, software applications",2025-03-28,Veleyahome EOOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","1. Designing and developing complex, scalable web applications with PHP 7.2+ and PostgreSQL, including query optimization for processing large data sets (20M+ records). 2. Recursive CTEs (Common Table Expressions) for hierarchical data and logging slow queries through EXPLAIN ANALYZE. 3. Developing Front-end applications on ExtJs and Back-end part on Zendframework 2."
BG46,"Technician, mechanic",2025-09-11,VIVA PLAST EOOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","2. Checks daily the normal functioning of machines and mechanical equipment. Performs repair and preventive maintenance activities in accordance with the instructions of the machines and equipment. Identifies, reports, and resolves malfunctions in the machines and equipment in the enterprise. Performs adjustments on installations and machines, reformatting. Monitors the occurrence of malfunctions and their timely resolution. Participates in periodic and major repairs, disassembly, and assembly of machines and equipment in production. Participates in the installation and setup of new equipment, as well as its commissioning into regular operation."
BG47,"Worker, press for ceramic and porcelain products",2025-10-15,HAN OMURTAG AD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","3. Loads the press with the required dies, monitors and takes care of the correct operating mode, condition, functionality, and cleanliness of the machines."
BG48,Machine operator,2025-08-12,KEROS CERAMICS EAD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","4. Monitors the proper operation of machines and production lines. Monitors the quality of the produced products. Introductory training for the relevant production line; Payment of bonuses, overtime work by schedule, night and holiday work; Company transport within the city of Ruse; Food vouchers worth 200 BGN above gross income."
BG49,"Operator, auxiliary equipment in power plant",2025-11-11,HEATING RUSE AD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","5. TPP - Ruse introduces a new biomass combustion line. Operators manage and monitor the process - observe and maintain control panels and similar equipment in electrical control centers, load the line with bales; The equipment includes reactors, turbines, generators, and other auxiliary facilities in power plants."
BG50,"Electrical technician, industrial enterprise",2025-11-11,HEATING RUSE AD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Perform technical tasks related to the production, assembly, construction, operation, maintenance, and repair of electrical equipment, facilities, and power supply systems."
BG51,"Fitter, boiler equipment",2025-10-20,TPP - BOBOV DOL AD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",1. Participates in the repair of one or more nodes of the boiler equipment. 2. Execution of complex and precise locksmith works. none
BG52,"Worker, thermal insulation repair",2025-10-20,TPP - BOBOV DOL AD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","1. Carrying out construction-installation, insulation, furnace construction, and other repair activities. 2. Construction of cladding and insulation in the boiler rooms and gas ducts. 3. Installation and dismantling of scaffolding in the furnace chamber. none"
BG53,"Worker, mechanical cleaning of energy facilities",2025-10-20,TPP - BOBOV DOL AD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","1. External cleaning of pipes using metal hammers. 2. Cleaning and washing of boilers and stairs from dust, slag, and oil. 3. Cleaning and washing of the adjacent area of the workshop. none"
BG54,"Technician, elevator technology",2025-10-20,TPP - BOBOV DOL AD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",1. Maintenance and repair of elevator systems and lifting equipment. 2. Knowledge and compliance with the requirements of regulations for the safe operation and technical supervision of elevators and lifting equipment. none
BG55,Crane operator,2025-10-20,TPP - BOBOV DOL AD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","1. Directly participates in the execution of assembly works and tasks at the site. 2. During work, monitors the correct fastening and placement of the load."
BG56,"Electrician, electrical equipment",2025-10-20,TPP - BOBOV DOL AD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","1. Performs activities related to the servicing and repair of electrical equipment in the area of the plant. 2. Disassembly and assembly of electric motors, circuit breakers, disconnectors, contactors, automats, and other electrical equipment. 3. Periodically inspects the electrical panels and control consoles."
BG58,Work in technical support in Sofia,2025-09-04,Recruitas AB,Other / Undefined,Bulgaria,BG,Sofia,"(42.6977, 23.3219)","Are you ready to take the next step in your career? Our client – a global leader in customer experience – is now seeking Swedish-speaking technically interested individuals for its team in Sofia. About the role As a Technical Support agent, you will assist customers in getting the most out of well-known technology products. You will: Assist customers via phone, email, and chat Provide technical support and resolve issues Identify customer needs and provide the right solutions Contribute to a positive customer experience Previous experience is not required – you will receive paid training. You only need to be fluent in Swedish, have good knowledge of English, and an interest in technology and customer service. We offer: Paid training Secure employment with career opportunities Competitive salary + bonus Private health insurance An international work environment Personal and professional development Over 50 benefits and discounts Why work in Sofia? Low cost of living and high quality of life Beautiful nature – close to both mountains and sea Vibrant culture and a modern nightlife An expanding tech hub with an international job market Easy access to travel within Europe Ready to start a new chapter abroad? Submit your application today and become part of a growing tech team in the heart of Europe or email erika@recruitas.com if you have any questions!"
BG59,"Organizer, production",2025-10-16,STEARIOS OOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Preparation of materials for injection molding according to precise recipes. Downloading and dosing of dyes, fragrances, and additives. Precise homogenization of materials at a certain temperature. Monitoring quality and compliance with standards in the production process. Maintaining cleanliness and order in the work area. Responsibility and attention to detail. Skills to work according to set instructions and recipes. Ability to work in a team."
BG60,"Machine operator, plastic products manufacturing",2025-10-24,STEARIOS OOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)",Machine operator of the latest generation injection machines. Opportunity for execution by both men and women. Main activity: Production of plastic products. Main responsibilities: Following the work process and internal safety rules; Monitoring the proper operation of the machines and the availability of necessary materials; Loading and reloading the machines; Visual inspection.
BG61,"Service worker, industrial production",2025-10-15,Viking Life-Saving Equipment Production BG EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","• Performs activities related to gluing and assembling semi-finished rescue rafts; • Participates in preparing the glue mixture; • Performs activities related to gluing chambers; • Collects and disposes of waste in designated areas; • Complies with documentation requirements according to company standards; • Contacts and coordinates work with the Section Organizer and Shift Supervisor; • Ensures timely execution of assigned production orders; • Maintains the workplace clean and organized according to 5S requirements; • Reports material shortages; • Reports errors and omissions in materials, semi-finished products, and products; • Performs other specifically assigned tasks related to the position."
BG63,Plasterer,2025-10-03,Viking Life-Saving Equipment Production BG EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",Activities related to gluing and assembling inflatable rescue rafts for maritime safety. The job is dynamic and demanding. Working hours are from 07:00 to 15:30.
BG67,Electromechanic,2025-08-15,D KONSEY OOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Performs operational supervision and maintenance of machines and equipment/production line/and locksmith activities related to changing rollers, bearings, and other machine parts. Technical literacy; Experience working with hand and electric tools;"
BG74,"Technician, telecommunications",2025-12-04,K Kom 2020 EOOD,Other / Undefined,Bulgaria,BG,Northern and Eastern Bulgaria,"(43.2141, 27.9147)","Installing and configuring telecommunication systems and equipment from leading manufacturers: Nokia, Ericsson, Huawei, ZTE, etc. - Installation/Demolition, configuring power supply systems. - Building and maintaining Antenna-Feeder Systems. - Performing diagnostics of existing telecommunication infrastructures. - Building and maintaining MW links. - Monitoring new technologies and recommending improvements in systems and processes. Working at heights. Previous experience in similar work (swap projects/Rollout projects) is an advantage but not mandatory. - Qualification for work with electrical networks up to 1000V is an advantage, but not mandatory."
BG75,Phone Cable/Line Technician,2025-10-20,CUBI GROUP EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)",- Building new optical cable routes; - Laying HDPE pipes; - Preparing and launching cable with a cable jet; - Working with hand and mechanized tools; - Complying with technical and safety requirements.
BG76,"Technician, telecommunications",2025-10-21,EL PI TEK EOOD,Other / Undefined,Bulgaria,BG,South-Western and South-Central Bulgaria,"(42.6977, 23.3219)","Installation of radio relay lines and base stations. Work at height. Work at height, working with electrical networks up to 1000 volts."
HR1,DESIGNER / DESIGNER OF CONSTRUCTION PROJECTS,2025-11-21,TUDOR PROJEKT d.o.o.,Other / Undefined,Croatia,HR,Zagreb,"(45.8150, 15.9819)","Job description: - participation in the preparation of structural projects of all levels for buildings in the company's portfolio - independent calculation for simpler structures - participation in the completion of project documentation and other technical documentation - communication with collaborators and business colleagues within their tasks - preparation of main and execution projects for buildings (mostly high-rise construction) - other tasks in accordance with the nature and type of work at the employer's request - work in Scia Engineer, Autocad, and ARMCad. Knowledge of Scia Engineer for modeling structures and ARMCad for creating reinforcement plans is required. Teamwork and a desire to learn and progress are expected."
HR2,EXPERT FOR FORENSIC SYSTEMS AND INVESTIGATION,2025-12-01,Kriptonix j.d.o.o.,Electrical & Electronics Engineering,Croatia,HR,Zagreb,"(45.8150, 15.9819)","R&D ENGINEER - FORENSIC SYSTEMS Job description: research and development work on the development and integration of forensic sensor systems. This includes work with FPGA systems, Hall sensors, rotational dynamics, and biomechanical models. Conducts advanced signal analysis (Fourier, CWT, SSA), creates prototypes and technical documentation, and participates in crypto-security and digital forensics projects. Develops and maintains an SQL database of biomechanical signatures. Work is performed full-time (40 hours a week)."
HR3,"Application and OT Specialist (m/f/d), Freudenberg, Belisce / Croatia (Application Engineer / Manager)",2025-04-09,Harburg-Freudenberger Maschinenbau GmbH,"Cloud, DevOps & Systems Engineering",Germany,HR,North Rhine-Westphalia,"(51.4556, 7.0116)","The mix makes life means constantly reinventing oneself, not standing still and staying in motion. HF is also always in motion and offers its customers, as a world market leader, forward-looking solutions and products that make them successful. We enable efficient and ecological mixing processes for tires, technical rubber goods, and special applications with our work. Your tasks: Participation in global projects in the area of Smart Factory solutions, from the concept phase to implementation and continuous optimization. Collaboration with global and local IT teams to design and provide the IT infrastructure for Smart Factory initiatives, including IoT devices, sensors, automation systems, application servers, and data platforms. Development and maintenance of applications, including interfaces for the integration of data systems, applications, IoT devices, and services worldwide. Providing training and technical support for manufacturing sites worldwide to troubleshoot and resolve IT-related issues in the industry. Budgeting projects for IT infrastructure within the scope of the global digitalization strategy. Cooperation with the global IT security team to ensure continuous network security, data integrity, and compliance with industrial standards and regulations. Implementation and integration of Smart Factory devices at the machine level. Analyzing and solving technical challenges related to the integration of IoT and automation technologies. Your profile: Completed Bachelor's degree or equivalent qualification in Information Technology, Computer Science, Industrial Engineering, or a related field. Experience in software development and application development. Programming skills in JavaScript, Python, or similar languages. Experience in IT or industrial IT roles with a focus on Smart Factory technologies, industrial automation, and digital transformation in manufacturing environments. Experience with Industry 4.0 technologies, including IoT, AI, machine learning, robotics, and data analysis platforms. Experience in implementing and integrating Smart Factory devices at the machine level. Familiarity with automation protocols (e.g., OPC UA, MQTT, Modbus) and industrial communication standards. Flexibility to work in dynamic environments, with a focus on continuous improvement. Excellent communication and interpersonal skills for effective collaboration with global teams and various organizational levels. Willingness to travel to our international manufacturing sites. Our offer: We are a collectively bargained company and are subject to the uniform collective agreement of the metal and electrical industry NRW. This means for our employees: 30 days of vacation per year. Compensation according to the wage framework agreement. Christmas and vacation bonuses. Additionally, we offer various other benefits, such as: Asset-building services. Educational opportunities. Company restaurant with daily freshly cooked meals and a wide variety of options. Meal allowance for meals in the company restaurant. Free drinks (water, coffee, cocoa). Modern working environment. Company-owned gym with fitness courses. On-site physiotherapist services. Bicycle and e-bike leasing."
HR4,On-Site Project Manager / Senior Site Manager (m/f/d) (Engineer - Mechanical Engineering),2025-11-21,TGM Kanis Turbinen GmbH,Other / Undefined,Germany,HR,Zagreb,"(45.8150, 15.9819)","Our mission is to plan, manufacture, deliver, assemble, and commission steam turbine units, with which we fully meet individual customer needs. We combine top quality with effective and safe processes and constantly question our thinking and actions regarding sustainability in relation to our products, the environment, and the health and development of our employees. As an employer, we are a professionally operating medium-sized company (with currently about 170 employees) that has retained the flexibility and responsiveness from the founding period through short decision-making processes and flat hierarchies. In this spirit, we think solution-oriented and pragmatically, are courageous and decisive, and can thus respond quickly and purposefully in the interest of customers and employees. To strengthen our international customer projects, we are looking for an on-site project manager / head of construction (m/f/d) immediately. How you fit with us: - You take responsibility for your actions towards our colleagues. - You enjoy working in a team because you like to be connected and think beyond your area. - Straightforward and direct communication is very important to you, but also respectful and appreciative. - You value it when a company expects not only loyalty from you but also advocates for its employees. - You are authentic and have integrity, live out your own values and beliefs, and bring along edges and corners. - You enjoy dealing with international customers, are willing to travel, and can express yourself well in German and English. Perhaps you speak another foreign language? What you are responsible for: In a service team consisting of project managers, site managers, and turbine installers, you are responsible for the qualified service of the complete steam turbine unit. This includes, among other things, the following tasks: - You are responsible for site management of assembly orders for turbine construction projects at our customers' locations. - You are the interface between customers, assembly, and commissioning team and project team at the headquarters. - You coordinate your own assembly and commissioning teams. - You schedule and technically supervise various trades such as piping, wiring, insulation, steel construction, etc. - You prepare the acceptance of construction and assembly services and coordinate the solution-oriented handling of any remaining issues. - You ensure compliance with safety standards and occupational health and safety regulations on the construction site. What we expect from you: - A successfully completed engineering degree (e.g. Mechanical Engineering or Process Engineering) or a successfully completed technical training (Industrial Mechanic, Maintenance Technician, Mechatronics Technician, etc.) - Relevant professional experience in machinery and plant engineering is required. - Willingness to travel. - Flexibility regarding working hours and location. - Result-oriented and independent working style. - Class B driving license. - Very good German language skills, good English language skills. - Good PC and IT skills. What we offer you: - Individual internal and external training measures. - 30 days of vacation/year. - Flexible working hours to reduce overtime. - Employee offers through Corporate Benefit Program. - Bicycle leasing as a monetary benefit. - Contributions to company pension schemes or VWL. - Employer-financed accident insurance (also for private accidents). You can apply directly via the application form on our homepage: https://www.tgmkanis.com/karriere ( https://www.tgmkanis.com/karriere ) TGM Kanis Turbinen GmbH Am Flachmoor 6 90475 Nürnberg Team Human Resources."
HR5,QUALITY CONTROLLER/WELDING COORDINATOR,2025-12-02,MURA-METAL d.o.o.,"Cloud, DevOps & Systems Engineering",Croatia,HR,Zagreb,"(45.8150, 15.9819)","Job description: DESIRED KNOWLEDGE AND QUALITIES FOR THE JOB: communication skills, precision, conscientiousness and responsibility in work, willingness to work in a team, independence in performing work tasks EDUCATION: Completed secondary school lasting 4 years or more Bachelor's degree, professional studies and higher school IWE (International Welding Engineer), Doc. IAB-002-2000/EWF-409 IWT (International Welding Technologist); Doc. IAB-003-2000/EWF-410 IWS (International Welding Specialist); Doc. IAB-004-2000/EWF-411 WORK EXPERIENCE: Minimum 3 years in the profession as a welding coordinator Minimum 3 years of experience in knowledge of quality standards JOB DESCRIPTION: conducts final visual-measurement control of components and (or) products and testing of impermeability, fills out control-testing documentation, performs technological elaboration of work documentation (according to objectively available time), responsible for monitoring the process and application of welding (qualitative and quantitative) and control of applied standards along with possible supplementation of requirements, supervision of staff, including providing professional training and ensuring the correctness of welding equipment and qualifications of welders and operators including education, instructions, implementation and assessment, prepares production and complete accompanying documentation (WPS, WPQR…), welding plans and determining methods and range of validity methods for qualified welding procedures, testing the quality of welds by visual method, non-destructive testing (NDT), destructive and prepares reports for the same, takes care of preventive maintenance and correctness of welding equipment, prepares and conducts the A-certification of welders, communication with responsible customer staff related to welding, methods and application, performs welding of particularly demanding parts. WE OFFER: stimulating compensation in accordance with experience, knowledge and skills, possibility of permanent employment after probationary period, travel expenses, monetary rewards, meal allowance, occasion rewards (Christmas bonus, annual leave bonus, Easter bonus)"
